sort_order,YEAR,MONTH,DAY,SITE,OBSERVER,BUDDY,SIDE,ZONE,LEVEL,TRANSECT,DEPTH_M,DEPTH_FT,VIS_M,SURGE,HEADING,TEMP_C,TEMP_F,SPECIES,SEGMENT,QUANTITY,SIZE (MIN),SIZE (MAX),Cntrl+a,Notes,,,,,,,,,,,,,,,,,,,,
147,2016,8,11,Tatoosh Island,Greg Williams,Chris Harvey,1,10,BOT,1,,34,5.0,M,NW,,,SEME,ALL,8,30,30,,,,,,,,,,,,,,,,,,,,,,
148,2016,8,11,Tatoosh Island,Greg Williams,Chris Harvey,1,10,BOT,1,,34,5.0,M,NW,,,SEME,ALL,3,25,25,,,,,,,,,,,,,,,,,,,,,,
149,2016,8,11,Tatoosh Island,Greg Williams,Chris Harvey,1,10,BOT,1,,34,5.0,M,NW,,,SEME,ALL,7,35,35,,,,,,,,,,,,,,,,,,,,,,
150,2016,8,11,Tatoosh Island,Greg Williams,Chris Harvey,1,10,BOT,1,,34,5.0,M,NW,,,HEDE,ALL,2,35,35,,,,,,,,,,,,,,,,,,,,,,
151,2016,8,11,Tatoosh Island,Greg Williams,Chris Harvey,1,10,BOT,1,,34,5.0,M,NW,,,HEDE,ALL,1,40,40,,,,,,,,,,,,,,,,,,,,,,
152,2016,8,11,Tatoosh Island,Greg Williams,Chris Harvey,1,10,BOT,2,,29,5.0,M,NW,,,SEBYT,ALL,85,6,8,,,,,,,,,,,,,,,,,,,,,,
153,2016,8,11,Tatoosh Island,Greg Williams,Chris Harvey,1,10,BOT,2,,29,5.0,M,NW,,,SEME,ALL,1,25,25,,,,,,,,,,,,,,,,,,,,,,
154,2016,8,11,Tatoosh Island,Greg Williams,Chris Harvey,1,10,BOT,2,,29,5.0,M,NW,,,SEME,ALL,3,30,30,,,,,,,,,,,,,,,,,,,,,,
155,2016,8,11,Tatoosh Island,Greg Williams,Chris Harvey,1,10,BOT,2,,29,5.0,M,NW,,,SEME,ALL,1,35,35,,,,,,,,,,,,,,,,,,,,,,
156,2016,8,11,Tatoosh Island,Greg Williams,Chris Harvey,1,10,BOT,2,,29,5.0,M,NW,,,EMLA,ALL,3,20,20,,,,,,,,,,,,,,,,,,,,,,
157,2016,8,11,Tatoosh Island,Greg Williams,Chris Harvey,1,10,BOT,2,,29,5.0,M,NW,,,EMLA,ALL,2,25,25,,,,,,,,,,,,,,,,,,,,,,
158,2016,8,11,Tatoosh Island,Greg Williams,Chris Harvey,1,10,BOT,2,,29,5.0,M,NW,,,HEDE,ALL,1,40,40,,,,,,,,,,,,,,,,,,,,,,
159,2016,8,11,Tatoosh Island,Greg Williams,Chris Harvey,1,10,BOT,2,,29,5.0,M,NW,,,HEDE,ALL,1,45,45,,,,,,,,,,,,,,,,,,,,,,
160,2016,8,11,Tatoosh Island,Greg Williams,Chris Harvey,1,10,BOT,3,,28,5.0,M,NW,,,SEBYT,ALL,66,6,8,,,,,,,,,,,,,,,,,,,,,,
161,2016,8,11,Tatoosh Island,Greg Williams,Chris Harvey,1,10,BOT,3,,28,5.0,M,NW,,,OPEL,ALL,1,55,55,,,,,,,,,,,,,,,,,,,,,,
162,2016,8,11,Tatoosh Island,Greg Williams,Chris Harvey,1,10,BOT,3,,28,5.0,M,NW,,,HEDE,ALL,1,45,45,,,,,,,,,,,,,,,,,,,,,,
163,2016,8,11,Tatoosh Island,Greg Williams,Chris Harvey,1,10,BOT,4,,28,5.0,M,NW,,,SEBYT,ALL,53,6,8,,,,,,,,,,,,,,,,,,,,,,
164,2016,8,11,Tatoosh Island,Greg Williams,Chris Harvey,1,10,BOT,4,,28,5.0,M,NW,,,SEMY,ALL,1,8,8,,,,,,,,,,,,,,,,,,,,,,
165,2016,8,11,Tatoosh Island,Greg Williams,Chris Harvey,1,10,BOT,4,,28,5.0,M,NW,,,HEDE,ALL,1,10,10,,,,,,,,,,,,,,,,,,,,,,
166,2016,8,11,Tatoosh Island,Greg Williams,Chris Harvey,1,10,BOT,4,,28,5.0,M,NW,,,HEDE,ALL,1,40,40,,,,,,,,,,,,,,,,,,,,,,
167,2016,8,11,Tatoosh Island,Greg Williams,Chris Harvey,1,10,BOT,4,,28,5.0,M,NW,,,HEDE,ALL,1,20,20,,,,,,,,,,,,,,,,,,,,,,
168,2016,8,11,Tatoosh Island,Greg Williams,Chris Harvey,1,10,BOT,4,,28,5.0,M,NW,,,HEDE,ALL,1,45,45,,,,,,,,,,,,,,,,,,,,,,
169,2016,8,11,Tatoosh Island,Greg Williams,Chris Harvey,1,10,BOT,4,,28,5.0,M,NW,,,HEDE,ALL,1,25,25,,,,,,,,,,,,,,,,,,,,,,
170,2016,8,11,Tatoosh Island,Greg Williams,Chris Harvey,1,10,BOT,4,,28,5.0,M,NW,,,HEDE,ALL,1,50,50,,,,,,,,,,,,,,,,,,,,,,
171,2016,8,8,Destruction Island,Greg Williams,Chris Harvey,2,5,BOT,1,,15,1.5,M,NE,,,SEBYT,ALL,147,6,8,,,,,,,,,,,,,,,,,,,,,,
172,2016,8,8,Destruction Island,Greg Williams,Chris Harvey,2,5,BOT,2,,15,1.5,M,NE,,,SEBYT,ALL,182,6,8,,,,,,,,,,,,,,,,,,,,,,
173,2016,8,8,Destruction Island,Greg Williams,Chris Harvey,2,5,BOT,2,,15,1.5,M,NE,,,EMLA,ALL,1,7,7,,,,,,,,,,,,,,,,,,,,,,
174,2016,8,8,Destruction Island,Greg Williams,Chris Harvey,2,5,BOT,3,,15,1.5,M,NE,,,SEBYT,ALL,68,6,8,,,,,,,,,,,,,,,,,,,,,,
175,2016,8,8,Destruction Island,Greg Williams,Chris Harvey,1,5,BOT,1,,15,1.5,H,NE,,,SEBYT,ALL,3,6,8,,additional transects aborted for surge and visibility reasons,,,,,,,,,,,,,,,,,,,,
176,2016,8,8,Destruction Island,Greg Williams,Chris Harvey,2,10,BOT,1,,30,2.0,M,NE,,,SEBYT,ALL,99,6,8,,,,,,,,,,,,,,,,,,,,,,
177,2016,8,8,Destruction Island,Greg Williams,Chris Harvey,2,10,BOT,1,,30,2.0,M,NE,,,HEDE,ALL,1,8,8,,,,,,,,,,,,,,,,,,,,,,
178,2016,8,8,Destruction Island,Greg Williams,Chris Harvey,2,10,BOT,2,,30,2.0,M,NE,,,SEBYT,ALL,54,6,8,,,,,,,,,,,,,,,,,,,,,,
179,2016,8,8,Destruction Island,Greg Williams,Chris Harvey,2,10,BOT,2,,30,2.0,M,NE,,,HEHE,ALL,1,8,8,,,,,,,,,,,,,,,,,,,,,,
180,2016,8,8,Destruction Island,Greg Williams,Chris Harvey,2,10,BOT,2,,30,2.0,M,NE,,,HEDE,ALL,2,8,10,,,,,,,,,,,,,,,,,,,,,,
181,2016,8,8,Destruction Island,Greg Williams,Chris Harvey,2,10,BOT,3,,30,2.0,M,NE,,,SEBYT,ALL,72,6,8,,,,,,,,,,,,,,,,,,,,,,
181,2016,8,8,Destruction Island,Greg Williams,Chris Harvey,2,10,BOT,3,,30,2.0,M,NE,,,HEST,ALL,1,8,8,,,,,,,,,,,,,,,,,,,,,,
183,2016,8,8,Destruction Island,Kelly Andrews,Steve Lonhart,1,10,BOT,1,,30,1.6,M,30,,,SEBYT,ALL,60,6,8,,,,,,,,,,,,,,,,,,,,,,
184,2016,8,8,Destruction Island,Kelly Andrews,Steve Lonhart,1,10,BOT,2,,30,1.6,M,30,,,SEBYT,ALL,1,6,6,,,,,,,,,,,,,,,,,,,,,,
185,2016,8,8,Destruction Island,Kelly Andrews,Steve Lonhart,1,10,BOT,2,,30,1.6,M,30,,,EMLA,ALL,1,10,10,,,,,,,,,,,,,,,,,,,,,,
186,2016,8,8,Destruction Island,Kelly Andrews,Steve Lonhart,1,10,BOT,2,,30,1.6,M,30,,,EMLA,ALL,1,5,5,,,,,,,,,,,,,,,,,,,,,,
187,2016,8,8,Destruction Island,Kelly Andrews,Steve Lonhart,1,10,BOT,3,,30,1.6,M,30,,,SEBYT,ALL,1,8,8,,,,,,,,,,,,,,,,,,,,,,
188,2016,8,8,Destruction Island,Kelly Andrews,Steve Lonhart,1,10,BOT,3,,30,1.6,M,30,,,OXPI,ALL,1,18,18,,,,,,,,,,,,,,,,,,,,,,
189,2016,8,8,Destruction Island,Kelly Andrews,Steve Lonhart,1,10,BOT,3,,30,1.6,M,30,,,HEDE,ALL,1,20,20,,,,,,,,,,,,,,,,,,,,,,
181,2016,8,9,Cape Johnson,Greg Williams,Chris Harvey,1,10,BOT,1,,23,2.0,M,N,,,SEBYT,ALL,6,5,7,,,,,,,,,,,,,,,,,,,,,,
181,2016,8,9,Cape Johnson,Greg Williams,Chris Harvey,1,10,BOT,2,,23,2.0,M,N,,,SEBYT,ALL,9,5,7,,,,,,,,,,,,,,,,,,,,,,
181,2016,8,9,Cape Johnson,Greg Williams,Chris Harvey,1,10,BOT,2,,23,2.0,M,N,,,HEDE,ALL,1,8,8,,,,,,,,,,,,,,,,,,,,,,
181,2016,8,9,Cape Johnson,Greg Williams,Chris Harvey,1,10,BOT,3,,20,2.0,M,N,,,SEBYT,ALL,10,5,7,,,,,,,,,,,,,,,,,,,,,,
181,2016,8,9,Cape Johnson,Greg Williams,Chris Harvey,1,10,BOT,3,,20,2.0,M,N,,,SEME,ALL,6,25,25,,,,,,,,,,,,,,,,,,,,,,
181,2016,8,9,Cape Johnson,Greg Williams,Chris Harvey,1,10,BOT,3,,20,2.0,M,N,,,SEME,ALL,5,30,30,,,,,,,,,,,,,,,,,,,,,,
181,2016,8,9,Cape Johnson,Greg Williams,Chris Harvey,1,10,BOT,3,,20,2.0,M,N,,,HEDE,ALL,1,12,12,,,,,,,,,,,,,,,,,,,,,,
181,2016,8,9,Cape Johnson,Greg Williams,Chris Harvey,1,10,BOT,4,,21,2.0,M,N,,,SEBYT,ALL,3,5,7,,,,,,,,,,,,,,,,,,,,,,
181,2016,8,9,Cape Johnson,Greg Williams,Chris Harvey,1,10,BOT,4,,21,2.0,M,N,,,HEDE,ALL,1,7,7,,,,,,,,,,,,,,,,,,,,,,
181,2016,8,9,Cape Johnson,Greg Williams,Chris Harvey,1,10,BOT,5,,18,2.0,M,N,,,SEBYT,ALL,25,5,7,,,,,,,,,,,,,,,,,,,,,,
181,2016,8,9,Cape Johnson,Greg Williams,Chris Harvey,1,10,BOT,5,,18,2.0,M,N,,,HEDE,ALL,1,7,7,,,,,,,,,,,,,,,,,,,,,,
181,2016,8,9,Cape Johnson,Greg Williams,Chris Harvey,1,10,BOT,6,,18,2.0,M,N,,,SEBYT,ALL,6,5,7,,,,,,,,,,,,,,,,,,,,,,
181,2016,8,9,Cape Johnson,Greg Williams,Chris Harvey,1,10,BOT,6,,18,2.0,M,N,,,COTT,ALL,1,7,7,,,,,,,,,,,,,,,,,,,,,,
203,2016,8,9,Cape Johnson,Steve Lonhart,Kelly Andrews,1,5,BOT,1,,12,2.0,L,N,,,SEME,ALL,22,8,8,,,,,,,,,,,,,,,,,,,,,,
204,2016,8,9,Cape Johnson,Steve Lonhart,Kelly Andrews,1,5,BOT,1,,12,2.0,L,N,,,SEME,ALL,2,27,27,,,,,,,,,,,,,,,,,,,,,,
205,2016,8,9,Cape Johnson,Steve Lonhart,Kelly Andrews,1,5,BOT,1,,12,2.0,L,N,,,SEME,ALL,1,32,32,,,,,,,,,,,,,,,,,,,,,,
206,2016,8,9,Cape Johnson,Steve Lonhart,Kelly Andrews,1,5,BOT,1,,12,2.0,L,N,,,EMLA,ALL,1,28,28,,,,,,,,,,,,,,,,,,,,,,
207,2016,8,9,Cape Johnson,Steve Lonhart,Kelly Andrews,1,5,BOT,1,,12,2.0,L,N,,,SEFL,ALL,20,6,6,,,,,,,,,,,,,,,,,,,,,,
208,2016,8,9,Cape Johnson,Steve Lonhart,Kelly Andrews,1,5,BOT,1,,12,2.0,L,N,,,SEMY,ALL,1,7,7,,,,,,,,,,,,,,,,,,,,,,
209,2016,8,9,Cape Johnson,Steve Lonhart,Kelly Andrews,1,5,BOT,1,,12,2.0,L,N,,,HEDE,ALL,1,12,12,,,,,,,,,,,,,,,,,,,,,,
210,2016,8,9,Cape Johnson,Steve Lonhart,Kelly Andrews,1,5,BOT,2,,10,2.0,L,N,,,SEME,ALL,21,6,6,,,,,,,,,,,,,,,,,,,,,,
211,2016,8,9,Cape Johnson,Steve Lonhart,Kelly Andrews,1,5,BOT,2,,10,2.0,L,N,,,SEME,ALL,1,31,31,,,,,,,,,,,,,,,,,,,,,,
212,2016,8,9,Cape Johnson,Steve Lonhart,Kelly Andrews,1,5,BOT,2,,10,2.0,L,N,,,SEME,ALL,1,36,36,,,,,,,,,,,,,,,,,,,,,,
213,2016,8,9,Cape Johnson,Steve Lonhart,Kelly Andrews,1,5,BOT,2,,10,2.0,L,N,,,EMLA,ALL,1,31,31,,,,,,,,,,,,,,,,,,,,,,
214,2016,8,9,Cape Johnson,Steve Lonhart,Kelly Andrews,1,5,BOT,2,,10,2.0,L,N,,,HEDE,ALL,1,12,12,,,,,,,,,,,,,,,,,,,,,,
215,2016,8,9,Cape Johnson,Steve Lonhart,Kelly Andrews,1,5,BOT,2,,10,2.0,L,N,,,HEDE,ALL,1,30,30,,,,,,,,,,,,,,,,,,,,,,
216,2016,8,9,Cape Johnson,Steve Lonhart,Kelly Andrews,1,5,BOT,3,,12,2.0,L,N,,,EMLA,ALL,1,28,28,,,,,,,,,,,,,,,,,,,,,,
217,2016,8,9,Cape Johnson,Steve Lonhart,Kelly Andrews,1,5,BOT,4,,11,2.0,L,N,,,SEME,ALL,5,6,7,,,,,,,,,,,,,,,,,,,,,,
218,2016,8,9,Cape Johnson,Steve Lonhart,Kelly Andrews,1,5,BOT,4,,11,2.0,L,N,,,HEDE,ALL,1,28,28,,,,,,,,,,,,,,,,,,,,,,
219,2016,8,9,Cape Johnson,Steve Lonhart,Kelly Andrews,1,5,BOT,4,,11,2.0,L,N,,,HEDE,ALL,1,36,36,,,,,,,,,,,,,,,,,,,,,,
220,2016,8,9,Cape Johnson,Steve Lonhart,Kelly Andrews,1,5,BOT,5,,13,1.6,L,N,,,SEME,ALL,17,6,7,,,,,,,,,,,,,,,,,,,,,,
221,2016,8,9,Cape Johnson,Steve Lonhart,Kelly Andrews,1,5,BOT,5,,13,1.6,L,N,,,SEMY,ALL,1,7,7,,,,,,,,,,,,,,,,,,,,,,
222,2016,8,9,Cape Johnson,Steve Lonhart,Kelly Andrews,1,5,BOT,5,,13,1.6,L,N,,,HEDE,ALL,1,36,36,,,,,,,,,,,,,,,,,,,,,,
223,2016,8,9,Cape Johnson,Steve Lonhart,Kelly Andrews,1,5,BOT,6,,12,1.6,L,N,,,SEME,ALL,19,5,7,,,,,,,,,,,,,,,,,,,,,,
224,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,5,BOT,1,,18,2.0,L,90,,,SEME,ALL,18,6,9,,,,,,,,,,,,,,,,,,,,,,
225,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,5,BOT,1,,18,2.0,L,90,,,SEFL,ALL,9,6,6,,,,,,,,,,,,,,,,,,,,,,
226,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,5,BOT,1,,18,2.0,L,90,,,EMLA,ALL,1,9,9,,,,,,,,,,,,,,,,,,,,,,
227,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,5,BOT,1,,18,2.0,L,90,,,SEPI,ALL,5,5,5,,,,,,,,,,,,,,,,,,,,,,
228,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,5,BOT,1,,18,2.0,L,90,,,AUFL,ALL,2,6,6,,,,,,,,,,,,,,,,,,,,,,
229,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,5,BOT,2,,17,2.0,L,90,,,SEME,ALL,9,6,8,,,,,,,,,,,,,,,,,,,,,,
230,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,5,BOT,2,,17,2.0,L,90,,,SEFL,ALL,11,6,8,,,,,,,,,,,,,,,,,,,,,,
231,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,5,BOT,2,,17,2.0,L,90,,,EMLA,ALL,1,9,9,,,,,,,,,,,,,,,,,,,,,,
232,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,5,BOT,2,,17,2.0,L,90,,,EMLA,ALL,1,24,24,,,,,,,,,,,,,,,,,,,,,,
233,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,5,BOT,3,,16,2.0,L,90,,,SEME,ALL,2,6,6,,,,,,,,,,,,,,,,,,,,,,
234,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,5,BOT,3,,16,2.0,L,90,,,SEFL,ALL,12,6,6,,,,,,,,,,,,,,,,,,,,,,
235,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,5,BOT,3,,16,2.0,L,90,,,EMLA,ALL,1,27,27,,,,,,,,,,,,,,,,,,,,,,
236,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,5,BOT,3,,16,2.0,L,90,,,AUFL,ALL,78,7,12,,,,,,,,,,,,,,,,,,,,,,
237,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,5,BOT,4,,15,2.0,L,90,,,SEME,ALL,10,6,7,,,,,,,,,,,,,,,,,,,,,,
238,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,5,BOT,4,,15,2.0,L,90,,,SEFL,ALL,2,6,6,,,,,,,,,,,,,,,,,,,,,,
239,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,5,BOT,4,,15,2.0,L,90,,,HELA,ALL,1,22,22,,,,,,,,,,,,,,,,,,,,,,
240,2017,8,3,Tatoosh Island,Jameal Samhouri,Kinsey Frick,2,10,BOT,1,,30,5.0,L,30,,,SEME,ALL,7,40,40,,,,,,,,,,,,,,,,,,,,,,
241,2017,8,3,Tatoosh Island,Jameal Samhouri,Kinsey Frick,2,10,BOT,1,,30,5.0,L,30,,,SEME,ALL,3,35,35,,,,,,,,,,,,,,,,,,,,,,
242,2017,8,3,Tatoosh Island,Jameal Samhouri,Kinsey Frick,2,10,BOT,1,,30,5.0,L,30,,,HEDE,ALL,1,35,35,,,,,,,,,,,,,,,,,,,,,,
243,2017,8,3,Tatoosh Island,Jameal Samhouri,Kinsey Frick,2,10,BOT,1,,30,5.0,L,30,,,HEDE,ALL,2,40,40,,,,,,,,,,,,,,,,,,,,,,
244,2017,8,3,Tatoosh Island,Jameal Samhouri,Kinsey Frick,2,10,BOT,1,,30,5.0,L,30,,,OPEL,ALL,1,45,45,,,,,,,,,,,,,,,,,,,,,,
245,2017,8,3,Tatoosh Island,Jameal Samhouri,Kinsey Frick,2,10,BOT,2,,32,5.0,L,30,,48,SEME,ALL,3,35,35,,,,,,,,,,,,,,,,,,,,,,
246,2017,8,3,Tatoosh Island,Jameal Samhouri,Kinsey Frick,2,10,BOT,2,,32,5.0,L,30,,48,SEME,ALL,2,40,40,,,,,,,,,,,,,,,,,,,,,,
247,2017,8,3,Tatoosh Island,Jameal Samhouri,Kinsey Frick,2,10,BOT,2,,32,5.0,L,30,,48,SEME,ALL,3,14,14,,,,,,,,,,,,,,,,,,,,,,
248,2017,8,3,Tatoosh Island,Jameal Samhouri,Kinsey Frick,2,10,BOT,2,,32,5.0,L,30,,48,EMLA,ALL,1,35,35,,,,,,,,,,,,,,,,,,,,,,
249,2017,8,3,Tatoosh Island,Jameal Samhouri,Kinsey Frick,2,10,BOT,2,,32,5.0,L,30,,48,HEDE,ALL,3,35,35,,,,,,,,,,,,,,,,,,,,,,
250,2017,8,3,Tatoosh Island,Jameal Samhouri,Kinsey Frick,2,10,BOT,2,,32,5.0,L,30,,48,HEDE,ALL,1,40,40,,,,,,,,,,,,,,,,,,,,,,
251,2017,8,3,Tatoosh Island,Jameal Samhouri,Kinsey Frick,2,10,BOT,2,,32,5.0,L,30,,48,HEDE,ALL,1,45,45,,,,,,,,,,,,,,,,,,,,,,
252,2017,8,3,Tatoosh Island,Jameal Samhouri,Kinsey Frick,2,10,BOT,3,,31,5.5,L,30,,48,SEME,ALL,5,35,35,,,,,,,,,,,,,,,,,,,,,,
253,2017,8,3,Tatoosh Island,Jameal Samhouri,Kinsey Frick,2,10,BOT,3,,31,5.5,L,30,,48,SEME,ALL,4,40,40,,,,,,,,,,,,,,,,,,,,,,
254,2017,8,3,Tatoosh Island,Jameal Samhouri,Kinsey Frick,2,10,BOT,3,,31,5.5,L,30,,48,SEME,ALL,4,45,45,,,,,,,,,,,,,,,,,,,,,,
255,2017,8,3,Tatoosh Island,Jameal Samhouri,Kinsey Frick,2,10,BOT,3,,31,5.5,L,30,,48,HEDE,ALL,2,40,40,,,,,,,,,,,,,,,,,,,,,,
256,2017,8,3,Tatoosh Island,Jameal Samhouri,Kinsey Frick,2,10,BOT,3,,31,5.5,L,30,,48,HEDE,ALL,1,35,35,,,,,,,,,,,,,,,,,,,,,,
257,2017,8,3,Tatoosh Island,Jameal Samhouri,Kinsey Frick,1,10,BOT,1,,27,6.7,L,30,,50,SEME,ALL,1,40,40,,,,,,,,,,,,,,,,,,,,,,
258,2017,8,3,Tatoosh Island,Jameal Samhouri,Kinsey Frick,1,10,BOT,1,,27,6.7,L,30,,50,HEDE,ALL,1,34,34,,,,,,,,,,,,,,,,,,,,,,
259,2017,8,3,Tatoosh Island,Jameal Samhouri,Kinsey Frick,1,10,BOT,1,,27,6.7,L,30,,50,RHNI,ALL,1,12,12,,,,,,,,,,,,,,,,,,,,,,
260,2017,8,3,Tatoosh Island,Jameal Samhouri,Kinsey Frick,1,10,BOT,2,,26,6.7,L,30,,50,SEBYT,ALL,1,7,7,,,,,,,,,,,,,,,,,,,,,,
261,2017,8,3,Tatoosh Island,Jameal Samhouri,Kinsey Frick,1,10,BOT,2,,26,6.7,L,30,,50,EMLA,ALL,2,25,25,,,,,,,,,,,,,,,,,,,,,,
262,2017,8,3,Tatoosh Island,Jameal Samhouri,Kinsey Frick,1,10,BOT,3,,26,6.7,L,270,,48,SEME,ALL,1,30,30,,,,,,,,,,,,,,,,,,,,,,
263,2017,8,3,Tatoosh Island,Jameal Samhouri,Kinsey Frick,1,10,BOT,3,,26,6.7,L,270,,48,SEME,ALL,7,35,35,,,,,,,,,,,,,,,,,,,,,,
264,2017,8,3,Tatoosh Island,Jameal Samhouri,Kinsey Frick,1,10,BOT,3,,26,6.7,L,270,,48,SEME,ALL,6,40,40,,,,,,,,,,,,,,,,,,,,,,
265,2017,8,3,Tatoosh Island,Jameal Samhouri,Kinsey Frick,1,10,BOT,3,,26,6.7,L,270,,48,SEME,ALL,4,50,50,,,,,,,,,,,,,,,,,,,,,,
266,2017,8,3,Tatoosh Island,Jameal Samhouri,Kinsey Frick,1,10,BOT,3,,26,6.7,L,270,,48,EMLA,ALL,1,25,25,,,,,,,,,,,,,,,,,,,,,,
267,2017,8,3,Tatoosh Island,Jameal Samhouri,Kinsey Frick,1,10,BOT,3,,26,6.7,L,270,,48,HEDE,ALL,1,25,25,,,,,,,,,,,,,,,,,,,,,,
268,2017,8,3,Tatoosh Island,Jameal Samhouri,Kinsey Frick,1,10,BOT,3,,26,6.7,L,270,,48,HEDE,ALL,1,35,35,,,,,,,,,,,,,,,,,,,,,,
269,2017,8,3,Tatoosh Island,Jameal Samhouri,Kinsey Frick,1,10,BOT,3,,26,6.7,L,270,,48,HEDE,ALL,1,40,40,,,,,,,,,,,,,,,,,,,,,,
270,2017,8,3,Tatoosh Island,Jameal Samhouri,Kinsey Frick,1,10,BOT,4,,31,6.7,L,270,,48,SEME,ALL,3,40,40,,,,,,,,,,,,,,,,,,,,,,
271,2017,8,3,Tatoosh Island,Jameal Samhouri,Kinsey Frick,1,10,BOT,4,,31,6.7,L,270,,48,SEME,ALL,1,45,45,,,,,,,,,,,,,,,,,,,,,,
272,2017,8,3,Tatoosh Island,Jameal Samhouri,Kinsey Frick,1,10,BOT,4,,31,6.7,L,270,,48,HEDE,ALL,1,12,12,,,,,,,,,,,,,,,,,,,,,,
273,2017,8,3,Tatoosh Island,Jameal Samhouri,Kinsey Frick,1,10,BOT,4,,31,6.7,L,270,,48,HEDE,ALL,1,20,20,,,,,,,,,,,,,,,,,,,,,,
274,2017,8,3,Tatoosh Island,Jameal Samhouri,Kinsey Frick,1,10,BOT,4,,31,6.7,L,270,,48,HEDE,ALL,2,30,30,,,,,,,,,,,,,,,,,,,,,,
275,2017,8,2,Cape Alava,Kelly Andrews,Kinsey Frick,2,10,BOT,1,,30,2.5,L,90,,53,SEME,ALL,1,25,25,,,,,,,,,,,,,,,,,,,,,,
276,2017,8,2,Cape Alava,Kelly Andrews,Kinsey Frick,2,10,BOT,1,,30,2.5,L,90,,53,SEME,ALL,3,40,40,,,,,,,,,,,,,,,,,,,,,,
277,2017,8,2,Cape Alava,Kelly Andrews,Kinsey Frick,2,10,BOT,1,,30,2.5,L,90,,53,HEDE,ALL,1,25,25,,,,,,,,,,,,,,,,,,,,,,
278,2017,8,2,Cape Alava,Kelly Andrews,Kinsey Frick,2,10,BOT,2,,30,2.5,L,90,,54,SEME,ALL,1,30,30,,,,,,,,,,,,,,,,,,,,,,
279,2017,8,2,Cape Alava,Kelly Andrews,Kinsey Frick,2,10,BOT,2,,30,2.5,L,90,,54,SEME,ALL,2,35,35,,,,,,,,,,,,,,,,,,,,,,
280,2017,8,2,Cape Alava,Kelly Andrews,Kinsey Frick,2,10,BOT,2,,30,2.5,L,90,,54,SEME,ALL,9,40,40,,,,,,,,,,,,,,,,,,,,,,
281,2017,8,2,Cape Alava,Kelly Andrews,Kinsey Frick,2,10,BOT,2,,30,2.5,L,90,,54,EMLA,ALL,1,10,10,,,,,,,,,,,,,,,,,,,,,,
282,2017,8,2,Cape Alava,Kelly Andrews,Kinsey Frick,2,10,BOT,2,,30,2.5,L,90,,54,HEDE,ALL,1,20,20,,,,,,,,,,,,,,,,,,,,,,
283,2017,8,2,Cape Alava,Kelly Andrews,Kinsey Frick,2,10,BOT,2,,30,2.5,L,90,,54,HEDE,ALL,1,30,30,,,,,,,,,,,,,,,,,,,,,,
284,2017,8,2,Cape Alava,Kelly Andrews,Kinsey Frick,2,10,BOT,3,,27,2.5,L,90,,53,SEME,ALL,3,30,30,,,,,,,,,,,,,,,,,,,,,,
285,2017,8,2,Cape Alava,Kelly Andrews,Kinsey Frick,2,10,BOT,3,,27,2.5,L,90,,53,SEME,ALL,10,35,35,,,,,,,,,,,,,,,,,,,,,,
286,2017,8,2,Cape Alava,Kelly Andrews,Kinsey Frick,2,10,BOT,3,,27,2.5,L,90,,53,SEME,ALL,11,40,40,,,,,,,,,,,,,,,,,,,,,,
287,2017,8,2,Cape Alava,Kelly Andrews,Kinsey Frick,2,10,BOT,3,,27,2.5,L,90,,53,HEDE,ALL,1,20,20,,,,,,,,,,,,,,,,,,,,,,
288,2017,8,2,Cape Alava,Kelly Andrews,Kinsey Frick,2,10,BOT,3,,27,2.5,L,90,,53,HEDE,ALL,1,25,25,,,,,,,,,,,,,,,,,,,,,,
289,2017,8,2,Cape Alava,Kelly Andrews,Kinsey Frick,2,10,BOT,3,,27,2.5,L,90,,53,HEDE,ALL,2,30,30,,,,,,,,,,,,,,,,,,,,,,
290,2017,8,2,Cape Alava,Kelly Andrews,Kinsey Frick,2,10,BOT,4,,18,1.5,L,60,,52,SEME,ALL,4,30,30,,,,,,,,,,,,,,,,,,,,,,
291,2017,8,2,Cape Alava,Kelly Andrews,Kinsey Frick,2,10,BOT,4,,18,1.5,L,60,,52,SEME,ALL,7,35,35,,,,,,,,,,,,,,,,,,,,,,
